data,quantidade
2022-03-31,1200
2022-03-31,1176
2022-03-31,3948
2022-03-31,3000
2022-03-31,30
2022-04-01,5736
2022-04-01,300
2022-04-02,180
2022-04-02,90
2022-04-02,1401
2022-04-04,600
2022-04-04,4836
2022-04-04,30
2022-04-04,450
2022-04-04,1185
2022-04-04,450
2022-04-05,180
2022-04-05,1383
2022-04-05,375
2022-04-05,60
2022-04-05,1500
2022-04-05,30
2022-04-05,3888
2022-04-05,4842
2022-04-06,5763
2022-04-06,540
2022-04-06,165
2022-04-06,150
2022-04-06,1104
2022-04-06,90
2022-04-07,90
2022-04-07,861
2022-04-07,1530
2022-04-07,327
2022-04-08,450
2022-04-08,450
2022-04-08,600
2022-04-08,3000
2022-04-08,720
2022-04-08,450
2022-04-08,1971
2022-04-08,11235
2022-04-08,150
2022-04-08,177
2022-04-08,507
2022-04-09,90
2022-04-11,1401
2022-04-11,6
2022-04-11,5085
2022-04-11,726
2022-04-11,3600
2022-04-11,60
2022-04-11,75
2022-04-11,840
2022-04-12,3000
2022-04-12,939
2022-04-12,225
2022-04-12,15
2022-04-12,480
2022-04-12,8823
2022-04-12,4590
2022-04-13,900
2022-04-13,2850
2022-04-13,600
2022-04-13,3060
2022-04-13,8670
2022-04-13,600
2022-04-14,45
2022-04-14,30
2022-04-14,3000
2022-04-14,129
2022-04-14,810
2022-04-14,903
2022-04-14,4047
2022-04-14,240
2022-04-14,150
2022-04-16,60
2022-04-18,4239
2022-04-18,1761
2022-04-18,360
2022-04-18,72
2022-04-18,870
2022-04-18,750
2022-04-18,3600
2022-04-19,840
2022-04-19,435
2022-04-19,1401
2022-04-19,75
2022-04-19,14265
2022-04-19,78
2022-04-19,1593
2022-04-20,630
2022-04-20,1401
2022-04-20,150
2022-04-20,180
2022-04-22,3270
2022-04-22,699
2022-04-22,1650
2022-04-22,0
2022-04-22,1401
2022-04-22,120
2022-04-25,900
2022-04-25,360
2022-04-25,1401
2022-04-25,300
2022-04-25,1050
2022-04-25,60
2022-04-25,150
2022-04-25,3600
2022-04-25,2370
2022-04-25,4011
2022-04-26,345
2022-04-26,450
2022-04-26,1200
2022-04-26,126
2022-04-26,300
2022-04-26,8346
2022-04-26,954
2022-04-26,1500
2022-04-26,180
2022-04-26,600
2022-04-27,903
2022-04-27,111
2022-04-27,150
2022-04-27,15207
2022-04-27,90
2022-04-27,3000
2022-04-27,588
2022-04-27,900
2022-04-28,720
2022-04-28,555
2022-04-28,1401
2022-04-28,1821
2022-04-28,11820
2022-04-29,450
2022-04-29,300
2022-04-29,6
2022-04-29,4200
2022-04-29,13107
2022-04-29,861
2022-04-30,360
2022-04-30,90
2022-05-02,4935
2022-05-02,2271
